Date,Open,High,Low,Close,Adj Close,Volume,Stock Name
2022-06-29,17.690001,17.93,17.200001,17.299999,17.299999,10918300,LCID
2022-06-30,17.24,17.66,16.545,17.16,17.16,13188800,LCID
2022-07-01,17.055,17.52,16.43,17,17,14083100,LCID
2022-07-05,16.780001,17.24,16.35,17.23,17.23,14868300,LCID
2022-07-06,17.35,18.51,17.309999,18.219999,18.219999,21390600,LCID
2022-07-07,18.290001,19.875,18.059999,19.809999,19.809999,19510400,LCID
2022-07-08,19.440001,20.610001,19.32,19.99,19.99,24362100,LCID
2022-07-11,19.92,20.02,18.5,18.530001,18.530001,11665000,LCID
2022-07-12,18.74,19.459999,18.245001,19.33,19.33,12437500,LCID
2022-07-13,18.65,19.749001,18.549999,19.51,19.51,12273100,LCID
2022-07-14,19.440001,20.15,18.959999,20.110001,20.110001,12948500,LCID
2022-07-15,20.120001,20.290001,19.209999,19.68,19.68,13949500,LCID
2022-07-18,20.07,21.08,19.860001,19.959999,19.959999,17273800,LCID
2022-07-19,20.49,20.549999,19.860001,20.379999,20.379999,11280300,LCID
2022-07-20,20.360001,21.34,20.360001,21.27,21.27,15250100,LCID
2022-07-21,21.139999,21.780001,20.781,21.48,21.48,15841800,LCID
2022-07-22,21.450001,21.450001,19.540001,19.68,19.68,14026800,LCID
2022-07-25,19.780001,19.9,18.639999,18.74,18.74,11624200,LCID
2022-07-26,18.48,18.565001,17.889999,18.09,18.09,11087900,LCID
2022-07-27,18.440001,18.594999,17.870001,18.43,18.43,15566000,LCID
2022-07-28,18.74,19.024,17.775,18.24,18.24,16839400,LCID
2022-07-29,18,18.290001,17.879999,18.25,18.25,16504000,LCID
2022-08-01,18.209999,18.690001,17.77,18.530001,18.530001,15465800,LCID
2022-08-02,18.219999,19.99,17.82,19.73,19.73,20507400,LCID
2022-08-03,19.82,20.620001,19.530001,20.559999,20.559999,29292200,LCID
2022-08-04,18.040001,18.860001,18,18.559999,18.559999,37355200,LCID
2022-08-05,18.4,18.6,17.92,18.049999,18.049999,16542600,LCID
2022-08-08,18.18,19.709999,18.075001,18.719999,18.719999,21703000,LCID
2022-08-09,18.52,18.530001,17.125,17.459999,17.459999,23944600,LCID
2022-08-10,18.07,18.34,17.51,18.219999,18.219999,19041300,LCID
2022-08-11,18.389999,18.92,18.02,18.09,18.09,19662500,LCID
2022-08-12,18.25,18.709999,17.829,18.66,18.66,13906200,LCID
2022-08-15,18.360001,19.08,18.309999,18.76,18.76,10488300,LCID
2022-08-16,18.620001,19.155001,18.18,18.93,18.93,12979600,LCID
2022-08-17,18.66,18.790001,18.15,18.459999,18.459999,11017300,LCID
2022-08-18,18.58,18.6,18.01,18.23,18.23,10206400,LCID
2022-08-19,17.98,17.99,16.690001,16.75,16.75,26005800,LCID
2022-08-22,16.775,16.775,16.030001,16.1,16.1,15375300,LCID
2022-08-23,16.26,16.440001,15.95,15.98,15.98,11651100,LCID
2022-08-24,16.25,16.84,15.955,16.440001,16.440001,11934800,LCID
2022-08-25,16.700001,17.23,16.58,16.98,16.98,10480900,LCID
2022-08-26,17.1,17.280001,16.209999,16.24,16.24,13160300,LCID
2022-08-29,16.09,16.450001,15.86,16.17,16.17,8469300,LCID
2022-08-30,15.8,15.85,14.89,15.15,15.15,27308600,LCID
2022-08-31,15.32,15.519,14.96,15.34,15.34,13917200,LCID
2022-09-01,15.21,15.405,14.79,15.38,15.38,13605600,LCID
2022-09-02,15.47,15.63,14.99,15.16,15.16,13695300,LCID
2022-09-06,15.04,15.13,14.58,14.61,14.61,17263300,LCID
2022-09-07,14.464,14.75,13.863,14.7,14.7,17388200,LCID
2022-09-08,14.46,14.99,14.385,14.99,14.99,11854400,LCID
2022-09-09,15,15.42,14.93,15.08,15.08,17971300,LCID
2022-09-12,15.45,16.597,15.31,16.549999,16.549999,24276500,LCID
2022-09-13,15.81,16.68,15.64,16.1,16.1,21307200,LCID
2022-09-14,16.02,16.879999,15.975,16.629999,16.629999,21932200,LCID
2022-09-15,16.4,17.33,16.34,16.49,16.49,19007500,LCID
2022-09-16,16.129999,17.690001,16.08,16.18,16.18,50642800,LCID
2022-09-19,16.059999,16.41,15.44,15.94,15.94,18925100,LCID
2022-09-20,15.82,15.951,15.23,15.34,15.34,12585600,LCID
2022-09-21,15.39,16.16,15.28,15.56,15.56,16880000,LCID
2022-09-22,15.45,15.58,14.12,14.31,14.31,20375900,LCID
2022-09-23,14.17,14.25,13.58,14.03,14.03,18635800,LCID
2022-09-26,14.05,14.65,13.952,14.06,14.06,11486300,LCID
2022-09-27,14.81,15.18,14.15,14.41,14.41,20173200,LCID
2022-09-28,14.52,15.32,14.355,15.22,15.22,15089800,LCID
2022-09-29,14.98,15,13.99,14.19,14.19,14253500,LCID
2022-09-30,14.05,14.44,13.87,13.97,13.97,12259300,LCID
2022-10-03,14,14.22,13.52,14.09,14.09,19230900,LCID
2022-10-04,14.51,15.68,14.51,15.4,15.4,22799900,LCID
2022-10-05,14.961,15.17,14.51,14.99,14.99,11615300,LCID
2022-10-06,15.018,15.3,14.305,14.41,14.41,13163700,LCID
2022-10-07,14.061,14.18,13.12,13.17,13.17,21772500,LCID
2022-10-10,13.23,13.26,12.29,12.48,12.48,20767800,LCID
2022-10-11,12.43,13.217,12.2,12.65,12.65,22025100,LCID
2022-10-12,13.25,13.5,12.61,13.09,13.09,23191800,LCID
2022-10-13,12.74,13.24,12.375,13.01,13.01,20889200,LCID
2022-10-14,13.18,13.22,11.87,11.89,11.89,23536700,LCID
2022-10-17,12.35,12.92,12.344,12.41,12.41,18897300,LCID
2022-10-18,12.92,13.16,12.515,13.01,13.01,16688500,LCID
2022-10-19,12.845,12.93,12.45,12.64,12.64,11700900,LCID
2022-10-20,12.71,13.1,12.36,12.6,12.6,17586500,LCID
2022-10-21,12.46,13.42,12.28,13.31,13.31,17222200,LCID
2022-10-24,13.17,13.175,12.53,12.8,12.8,14457700,LCID
2022-10-25,12.9,14.17,12.9,13.92,13.92,22487600,LCID
2022-10-26,13.74,14.52,13.62,13.91,13.91,15071200,LCID
2022-10-27,14.05,14.38,13.68,13.79,13.79,11174000,LCID
2022-10-28,13.79,14.3,13.65,14.23,14.23,12837100,LCID
2022-10-31,14.16,14.675,14.045,14.29,14.29,24662300,LCID
2022-11-01,14.67,14.84,13.6,13.62,13.62,14636500,LCID
2022-11-02,13.67,14.35,13.315,13.34,13.34,14289000,LCID
2022-11-03,13.23,14.075,13.15,13.64,13.64,10715300,LCID
2022-11-04,14.04,14.34,13.3,13.89,13.89,19218400,LCID
2022-11-07,14.05,14.2,13.205,13.85,13.85,16368000,LCID
2022-11-08,13.91,14.04,13.07,13.5,13.5,23031500,LCID
2022-11-09,12.49,12.53,10.89,11.21,11.21,52598500,LCID
2022-11-10,12.01,12.34,11.37,12.11,12.11,42963100,LCID
2022-11-11,12.13,13.179,12.07,12.91,12.91,29191500,LCID
2022-11-14,12.88,12.96,12.102,12.21,12.21,18403800,LCID
2022-11-15,12.715,12.82,12.3,12.36,12.36,21745000,LCID
2022-11-16,12.3,12.3,11.32,11.37,11.37,23032400,LCID
2022-11-17,11.24,11.49,11.03,11.46,11.46,18377400,LCID
2022-11-18,11.58,11.66,11.085,11.26,11.26,14755900,LCID
2022-11-21,11.11,11.11,10.25,10.31,10.31,32052700,LCID
2022-11-22,10.39,10.39,9.98,10.13,10.13,23082800,LCID
2022-11-23,10.24,10.35,10.051,10.25,10.25,18478600,LCID
2022-11-25,10.27,10.28,9.965,10.02,10.02,12414200,LCID
2022-11-28,9.985,10.188,9.83,9.85,9.85,24142600,LCID
2022-11-29,10.05,10.07,9.7,9.76,9.76,19666600,LCID
2022-11-30,9.86,10.36,9.84,10.14,10.14,69551900,LCID
2022-12-01,10.105,10.235,9.57,9.83,9.83,27314300,LCID
2022-12-02,9.64,10.165,9.55,10.15,10.15,27456300,LCID
2022-12-05,10.11,10.19,9.4,9.43,9.43,26098200,LCID
2022-12-06,9.52,9.52,8.54,8.65,8.65,39132200,LCID
2022-12-07,8.5,8.735,8.285,8.61,8.61,23903900,LCID
2022-12-08,8.62,8.84,8.405,8.68,8.68,24855900,LCID
2022-12-09,8.53,8.69,8.14,8.68,8.68,43064600,LCID
2022-12-12,8.54,8.59,8.13,8.28,8.28,26159800,LCID
2022-12-13,8.7,8.955,7.94,7.99,7.99,40408100,LCID
2022-12-14,7.96,7.97,7.59,7.68,7.68,29881900,LCID
2022-12-15,7.71,7.82,7.43,7.45,7.45,31343400,LCID
2022-12-16,7.405,7.62,7.185,7.37,7.37,41837800,LCID
2022-12-19,7.35,7.37,7.05,7.23,7.23,22954100,LCID
2022-12-20,7.57,7.89,7.22,7.23,7.23,42410700,LCID
2022-12-21,7.39,7.39,7.15,7.18,7.18,26956100,LCID
2022-12-22,7.12,7.17,6.63,6.89,6.89,35161300,LCID
2022-12-23,6.88,6.9,6.59,6.7,6.7,22584900,LCID
2022-12-27,6.608,6.61,6.18,6.2,6.2,35811200,LCID
2022-12-28,6.25,6.64,6.215,6.38,6.38,27973100,LCID
2022-12-29,6.6,6.9,6.48,6.7,6.7,26601600,LCID
2022-12-30,6.55,6.83,6.515,6.83,6.83,22489800,LCID
2023-01-03,6.97,7.07,6.14,6.17,6.17,31442200,LCID
2023-01-04,6.25,6.72,6.15,6.48,6.48,26173400,LCID
2023-01-05,6.34,6.394,6.17,6.25,6.25,21449700,LCID
2023-01-06,6.15,6.43,6.09,6.36,6.36,24539300,LCID
2023-01-09,6.49,6.98,6.375,6.78,6.78,27342000,LCID
2023-01-10,6.86,7.22,6.73,7.19,7.19,25980600,LCID
2023-01-11,7.22,8,7.069,7.93,7.93,44543100,LCID
2023-01-12,8.38,8.47,7.8,8.31,8.31,45046900,LCID
2023-01-13,7.952,8.18,7.75,8.15,8.15,29230400,LCID
2023-01-17,8.16,8.32,7.915,8.05,8.05,21990000,LCID
2023-01-18,8.19,8.34,7.86,8.16,8.16,24861700,LCID
2023-01-19,8.01,8.074,7.4,7.45,7.45,29192200,LCID
2023-01-20,7.48,7.82,7.425,7.82,7.82,20804200,LCID
2023-01-23,8,8.895,7.985,8.82,8.82,37913500,LCID
2023-01-24,8.64,9.06,8.52,8.6,8.6,25868900,LCID
2023-01-25,8.32,8.88,8.21,8.87,8.87,22676500,LCID
2023-01-26,9.3,9.379,8.62,9,9,26298900,LCID
2023-01-27,8.99,17.809999,8.91,12.87,12.87,208145200,LCID
2023-01-30,13.03,13.08,11.58,11.75,11.75,114340300,LCID
2023-01-31,11.53,12.25,11.24,11.69,11.69,50844400,LCID
2023-02-01,11.52,12.14,11.08,11.845,11.845,42035400,LCID
2023-02-02,12.2,13.04,11.86,12.07,12.07,71458700,LCID
2023-02-03,11.7,12.65,11.44,11.62,11.62,30090800,LCID
2023-02-06,11.68,12.13,11.6,11.96,11.96,26373700,LCID
2023-02-07,11.81,11.88,11.11,11.57,11.57,29247200,LCID
2023-02-08,11.46,12.15,11.4,11.53,11.53,21528900,LCID
2023-02-09,11.72,11.72,10.2,10.31,10.31,33517900,LCID
2023-02-10,10.46,10.46,9.74,10.03,10.03,23229200,LCID
2023-02-13,9.96,10.23,9.635,10.2,10.2,14305200,LCID
2023-02-14,10.01,10.44,9.83,10.33,10.33,17868200,LCID
2023-02-15,10.28,11.07,10.1,11.01,11.01,23199600,LCID
2023-02-16,11,11.267,10.62,10.63,10.63,22168100,LCID
2023-02-17,10.585,10.95,10.35,10.93,10.93,15798400,LCID
2023-02-21,10.74,10.74,9.81,9.9,9.9,23461500,LCID
2023-02-22,10.04,10.22,9.822,9.98,9.98,26981500,LCID
2023-02-23,8.63,8.89,8.1,8.79,8.79,66382600,LCID
2023-02-24,8.38,8.55,8.17,8.51,8.51,27562600,LCID
2023-02-27,8.5,8.85,8.415,8.76,8.76,17714700,LCID
2023-02-28,8.715,9.26,8.715,9.13,9.13,23496100,LCID
2023-03-01,8.97,9.06,8.35,8.62,8.62,22734900,LCID
2023-03-02,8.39,8.63,8.13,8.53,8.53,16281100,LCID
2023-03-03,8.67,9.095,8.63,8.94,8.94,19535300,LCID
2023-03-06,9,9.18,8.815,8.82,8.82,13876600,LCID
2023-03-07,8.7,8.71,8.27,8.31,8.31,17533500,LCID
2023-03-08,8.24,8.44,8.151,8.34,8.34,10208000,LCID
2023-03-09,8.25,8.338,7.97,8,8,19967900,LCID
2023-03-10,8.015,8.23,7.69,7.87,7.87,16763400,LCID
2023-03-13,7.58,7.945,7.33,7.84,7.84,17990500,LCID
2023-03-14,7.92,8.03,7.49,7.54,7.54,18241300,LCID
2023-03-15,7.35,7.53,7.23,7.4,7.4,17736200,LCID
2023-03-16,7.37,7.87,7.33,7.83,7.83,17161400,LCID
2023-03-17,7.68,7.839,7.37,7.69,7.69,28236500,LCID
2023-03-20,7.46,7.83,7.28,7.7,7.7,13236000,LCID
2023-03-21,7.85,8.31,7.805,8.19,8.19,17486400,LCID
2023-03-22,8.2,8.315,7.9,7.93,7.93,15098600,LCID
2023-03-23,8.105,8.295,8.01,8.19,8.19,12067300,LCID
2023-03-24,8.02,8.31,7.985,8.19,8.19,8224700,LCID
