,Date,AAPL,AMD,AMZN,GOOG,IBM,INTC,LCID,META,MSFT,TSLA
0,2022-06-29,66242400,0,66375300,18628000,0,0,0,28595200,20069800,0
1,2022-06-30,0,0,0,0,4878000,35141000,0,0,0,0
2,2022-07-01,71051600,0,73021200,31028000,4011900,0,0,0,22837700,74460300
3,2022-07-05,73353800,95589000,76583700,36398000,0,33215000,14868300,28618600,22941000,84581100
4,2022-07-06,74064300,85458900,66958900,28852000,3237000,26258300,21390600,23085900,23824400,71853600
5,2022-07-07,66253700,83640900,57872300,32184000,3897100,33165400,19510400,24083400,20859900,81930600
6,2022-07-08,64547800,83405900,45719700,29082000,0,22566300,24362100,19249200,19658800,101854200
7,2022-07-11,0,0,0,0,3904700,0,0,0,0,0
8,2022-07-12,77588800,0,0,0,0,0,12437500,0,0,0
9,2022-07-13,71185600,79355000,61353800,0,0,27059200,12273100,16555100,29497400,97954500
10,2022-07-14,78140700,83493600,51163100,32366000,5298400,36690700,12948500,0,25102800,78557400
11,2022-07-15,76259900,76050600,84317800,0,0,32892300,0,23342800,29774100,69683100
12,2022-07-18,0,0,0,0,0,0,0,23574300,0,0
13,2022-07-19,82982400,85047500,60990000,30992300,0,53095300,0,25933700,25012600,80890200
14,2022-07-20,64823400,88348600,71268300,26780100,0,36387900,15250100,24784300,22788300,88864200
15,2022-07-21,65086600,90449300,60239900,0,0,29661200,15841800,27195800,22404700,142032300
16,2022-07-22,0,0,0,0,6467200,0,0,0,0,0
17,2022-07-25,0,70083000,0,0,4702400,0,0,0,0,0
18,2022-07-26,0,0,0,0,0,0,0,0,0,0
19,2022-07-27,78620700,78301600,61582000,41474600,4175600,42571600,0,43846600,45994000,88110000
20,2022-07-28,81378700,79009200,82245500,23303800,3913700,0,0,0,33459300,84723000
21,2022-07-29,101786900,76630700,148892900,31336200,5786800,125292400,16504000,42065400,32152800,95313000
22,2022-08-01,67829400,96477500,76846900,0,4142100,52513400,15465800,40596700,21539600,0
23,2022-08-02,0,116734100,0,17911000,0,0,20507400,27374500,0,95577600
24,2022-08-03,82507500,131142000,71827800,25302800,3088500,59513900,29292200,31721900,23518900,80091000
25,2022-08-04,0,125855800,70585000,15757700,0,0,37355200,23938200,18098700,0
26,2022-08-05,56697000,93859900,50686900,15615700,2586500,40205100,0,25832700,16774600,0
27,2022-08-08,0,92606800,0,0,0,41534600,21703000,27299100,0,0
28,2022-08-09,63135500,0,0,0,0,0,0,0,23405200,0
29,2022-08-10,70170500,83416100,0,20497000,3664000,42243300,19041300,30262100,24687800,0
30,2022-08-11,0,0,0,0,3501900,0,0,0,0,0
31,2022-08-12,68039400,72316300,47643500,16121100,2766900,37675200,13906200,0,22619700,79657200
32,2022-08-15,54091700,61327100,39014600,15525000,2791200,25400600,10488300,15878700,18085700,89359200
33,2022-08-16,56377100,0,59102900,15626200,4313600,25000200,12979600,21156700,18102900,0
34,2022-08-17,79542000,0,0,0,3667600,0,0,0,18253400,68766000
35,2022-08-18,62290100,76059500,37458700,15652000,3177700,24598200,0,18844500,0,0
36,2022-08-19,0,0,0,0,0,0,0,0,0,0
37,2022-08-22,0,0,0,0,0,0,0,0,0,0
38,2022-08-23,54147100,52927000,36252100,14390700,0,0,0,0,0,63984900
39,2022-08-24,53841500,56520400,38627000,16051200,0,0,11934800,20891500,18137000,0
40,2022-08-25,51218200,61016200,37496300,14874700,2706000,29799100,10480900,15550500,16583400,0
